S.No,Course Name,Timing
369,BTP PART-II-ELD456,
370,BTP PART-II-ELD457,
371,BTP PART-II-ELD458,
372,BTP PART-II-ELD459,
373,MINOR PROJECT-ELD780,
374,MINOR PROJECT (EEA)-ELD800,
375,MAJOR PROJECT PART I-ELD801,
376,MAJOR PROJECT PART II-ELD802,
377,MINOR PROJECT (COMMUNICATION E-ELD810,
378,MAJOR PROJECT PART-I (COMMUNIC-ELD811,
379,MAJOR PROJECT PART-II-ELD812,
380,MINOR PROJECT-ELD830,
381,MAJOR PROJECT PART-I (INTEGRAT-ELD831,
382,MAJOR PROJECT PART-II-ELD832,
383,MINOR PROJECT-ELD850,
384,MAJOR PROJECT PART-II-ELD852,
385,MAJOR PROJECT PART-II-ELD872,
386,MAJOR PROJECT PART-I-ELD880,
387,MAJOR PROJECT PART II-ELD881,
388,MS RESEARCH PROJECT-ELD895,
389,INTRO. TO ELECTRICAL ENGG.-ELL101,TWF 15:30-16:30
390,DIGITAL ELECTRONICS-ELL201,MTh 09:30-11:00
391,SIGNALS AND SYSTEMS-ELL205,TWF 09:00-10:00
392,PHYSICAL ELECTRONICS-ELL211,MTh 09:30-11:00
393,ENGINEERING ELECROMAGNETICS-ELL212,TWF 10:00-11:00
394,CONTROL ENGINEERING I-ELL225,TThF 11:00-12:00
395,POWER ELECTR. & ENERGY DEVICES-ELL231,MTh 08:00-09:30
396,POWER ENGINEERING-I-ELL303,TThF 11:00-12:00
397,SEMICONDUCTOR PROCESS TECH.-ELL312,MTh 08:00-09:30
398,DIGITAL SIGNAL PROCESSING-ELL319,TWF 10:00-11:00
